,Unnamed: 0,active_ingredients,inactive_ingredients,name,price,active_smiles,inactive_smiles,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,RingCount,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_COO,fr_Ar_N,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_aldehyde,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_azo,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_halogen,fr_hdrzone,fr_phos_acid,fr_pyridine,fr_sulfonamd,fr_unbrch_alkane,fr_NH1,fr_Ndealkylation1,fr_quatN,fr_alkyl_halide,NumAliphaticCarbocycles,fr_Ar_NH,fr_Nhpyrrole,fr_epoxide,NumSaturatedCarbocycles,fr_Ar_OH,fr_ketone,fr_ketone_Topliss,fr_nitrile,fr_phenol,fr_phenol_noOrthoHbond,fr_urea,fr_Ndealkylation2,fr_methoxy,fr_lactone,fr_sulfide,fr_NH2,fr_para_hydroxylation,fr_Imine,fr_guanido,fr_phos_ester,fr_ArN,fr_furan,fr_hdrzine,fr_nitro,fr_priamide,fr_imidazole,fr_N_O,fr_imide,fr_sulfone,fr_SH,fr_thiocyan,fr_nitroso
0,0,['sodium fluoride'],"['sorbitol','water','hydrated silica','disodium pytophosphate','sodium lauryl sulfate','flavor','sodium hydroxide','alcohol (0.7%)','gum xanthan','sodium saccharin','glycerin','carbomer','cellulose gum','polysorbate 80','sodium benzoate','cetylpyridinium chloride','benzoic acid','titanium dioxide','fd&c blue no.1','yellow 5']","Crest + Scope Complete Whitening Toothpaste, Minty Fresh, 5.4 oz, Pack of 3",$6.52 ,['[F-].[Na+]'],"['C(C(C(C(C(CO)O)O)O)O)O','O','O.[O-2].[O-2].[Si+4]','OP(=O)([O-])OP(=O)(O)[O-].[Na+].[Na+]','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','flavor','[OH-].[Na+]','alcohol (0.7%)','CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','C(C(CO)O)O','C=CC(=O)O','CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]','CCCCCCCCC=CCCCCCCCC(=O)OCCOCC(C1C(CC(O1)OCCO)OCCO)OCCO','C1=CC=C(C=C1)C(=O)[O-].[Na+]','CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-]','C1=CC=C(C=C1)C(=O)O','O=[Ti]=O','fd&c blue no.1','C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+]']",279,40,98,9,9,5,1,6,84,35,121,1,96,7,7,1545,15,5,28,28,2,1,7,7,12,7,6,1,2,2,1,1,1,5,2,2,18,2,1,2,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,['sodium monofluorophosphate'],"['dicalcium phosphate dihydrate','water','glycerin','sodium lauryl sulfate','cellulose gum','flavor','tetrasodium pyrophosphate','sodium saccharin']","Colgate Cavity Protection Toothpaste with Fluoride, Great Regular Flavor - 6 Ounce, 3 pack",$3.96 ,['[O-]P(=O)([O-])F.[Na+].[Na+]'],"['O.O.OP(=O)([O-])[O-].[Ca+2]','O','C(C(CO)O)O','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]','flavor','[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]']",83,16,36,1,1,1,0,1,30,10,53,1,21,0,0,445,2,1,8,8,0,0,1,1,3,2,1,1,0,1,0,0,0,1,1,0,0,1,0,3,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,['stannous fluoride'],"['glycerin','peg-8','hydrated silica','pentasodium triphosphate','flavor','sodium lauryl sulfate','titanium dioxide','polyacrylic acid','sodium saccharin','cocamidopropyl betaine']","Parodontax Bleeding Gums Toothpaste, Teeth Whitening, 3.4 Ounce",$5.92 ,['F[Sn]F'],"['C(C(CO)O)O','peg-8','O.[O-2].[O-2].[Si+4]','[O-]P(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+].[Na+]','flavor','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','O=[Ti]=O','C=CC(=O)O','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]']",94,7,33,1,1,1,0,1,26,5,50,2,35,0,0,512,2,2,3,3,0,0,2,2,4,3,2,0,0,2,0,0,0,1,1,0,0,2,0,3,0,1,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,['stannous fluoride'],"['water','sorbitol','hydrated silica','glycerin','peg-12','tetrasodium pyrophosphate','sodium lauryl sulfate','flavor','microcrystalline cellulose','sodium citrate','zinc phosphate','cellulose gum','sodium saccharin','cocamidopropyl betaine','propylene glycol','gum xanthan','citric acid','sucralose','titanium dioxide']","Colgate Total Whitening Toothpaste, 4.8 oz. 2-pack",$4.96 ,['F[Sn]F'],"['O','C(C(C(C(C(CO)O)O)O)O)O','O.[O-2].[O-2].[Si+4]','C(C(CO)O)O','peg-12','[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+]','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','flavor','C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O','C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+]','[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Zn+2].[Zn+2].[Zn+2]','CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]','CC(CO)O','CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O','C(C(=O)O)C(CC(=O)O)(C(=O)O)O','C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O','O=[Ti]=O']",285,56,120,12,12,1,0,1,107,52,149,3,81,11,11,1605,13,10,45,43,0,0,10,10,14,8,2,1,0,2,0,0,0,1,2,1,20,5,0,4,0,1,17,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,['stannous fluoride'],"['glycerin','peg-8','hydrated silica','pentasodium triphosphate','flavor','sodium lauryl sulfate','titanium dioxide','polyacrylic acid','sodium saccharin','cocamidopropyl betaine']","Parodontax Bleeding Gums Toothpaste, Extra Fresh, 3.4 Ounce",$5.47 ,['F[Sn]F'],"['C(C(CO)O)O','peg-8','O.[O-2].[O-2].[Si+4]','[O-]P(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+].[Na+]','flavor','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','O=[Ti]=O','C=CC(=O)O','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]']",94,7,33,1,1,1,0,1,26,5,50,2,35,0,0,512,2,2,3,3,0,0,2,2,4,3,2,0,0,2,0,0,0,1,1,0,0,2,0,3,0,1,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,"['potassium nitrate','sodium fluoride']","['water','hydrated silica','sorbitol','glycerin','pentasodium triphosphate','peg-8','flavor','titanium dioxide','sodium methyl cocoyl taurate','cocamidopropyl betaine','gum xanthan','sodium hydroxide','sodium saccharin','sucralose']","Sensodyne Sensitivity Toothpaste, Extra Whitening, for Sensitive Teeth, 24/7 Protection, 4 ounce (Pack of 2)",$10.24 ,"['[N+](=O)([O-])[O-].[K+]','[F-].[Na+]']","['O','O.[O-2].[O-2].[Si+4]','C(C(C(C(C(CO)O)O)O)O)O','C(C(CO)O)O','[O-]P(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+].[Na+]','peg-8','flavor','O=[Ti]=O','sodium methyl cocoyl taurate','CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]','CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O','[OH-].[Na+]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O']",180,33,76,9,9,1,0,1,66,28,97,0,48,8,8,1006,10,3,25,25,0,0,3,3,6,4,3,0,0,2,0,0,0,1,2,1,15,4,0,3,0,1,8,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,['sodium fluoride'],"['sorbitol','water','hydrated silica','peg-12','tetrasodium pyrophosphate','cocamidopropyl betaine','cellulose gum','sodium saccharin','titanium dioxide','fd&c blue no.1','fd&c yellow 5']","Colgate Triple Action Toothpaste, Mint - 6 Ounce, 3 Pack",$3.96 ,['[F-].[Na+]'],"['C(C(C(C(C(CO)O)O)O)O)O','O','O.[O-2].[O-2].[Si+4]','peg-12','[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+]','CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]','CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','O=[Ti]=O','CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[Na+].[Na+]','C1=CC(=CC=C1N=NC2=C(NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+]']",176,18,60,1,2,7,1,8,50,14,83,1,46,0,0,915,10,2,11,11,1,2,3,3,6,5,7,1,5,2,1,0,1,7,1,0,0,1,0,2,0,1,8,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,['sodium fluoride'],"['sorbitol','water','hydrated silica','disodium pytophosphate','flavor','sodium lauryl sulfate','sodium hydroxide','alcohol (0.7%)','gum xanthan','sodium saccharin','glycerin','carbomer','poloxamer 407','polysorbate 80','sodium benzoate','cetylpyridinium chloride','benzoic acid','mica','titanium dioxide','fd&c blue no.1','yellow 5']","Crest + Scope Outlast Complete Whitening Toothpaste, Mint, 5.4 oz, Pack of 3",$6.52 ,['[F-].[Na+]'],"['C(C(C(C(C(CO)O)O)O)O)O','O','O.[O-2].[O-2].[Si+4]','OP(=O)([O-])OP(=O)(O)[O-].[Na+].[Na+]','flavor','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','[OH-].[Na+]','alcohol (0.7%)','CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','C(C(CO)O)O','C=CC(=O)O','CC1CO1.C1CO1','CCCCCCCCC=CCCCCCCCC(=O)OCCOCC(C1C(CC(O1)OCCO)OCCO)OCCO','C1=CC=C(C=C1)C(=O)[O-].[Na+]','CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-]','C1=CC=C(C=C1)C(=O)O','[O-2].O=[Al]O[Al]=O.O=[Si]=O.[K+].[K+]','O=[Ti]=O','fd&c blue no.1','C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+]']",280,34,98,11,11,5,1,6,84,29,125,0,93,9,9,1538,17,4,23,23,2,1,6,6,10,6,6,0,2,2,1,1,1,5,2,2,20,2,1,2,1,1,33,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,"['sodium monofluorophosphate','glycerin','hydrated silica','water','sodium bicarbonate','peg-12','sodium lauryl sulfate','sodium hydroxide','cellulose gum','carrageenan','sodium saccharin','calcium peroxide','titanium dioxide']",[],"Colgate Baking Soda and Peroxide Whitening Toothpaste, Brisk Mint - 6 Ounce, 3 Pack",$3.96 - $7.68,"['[O-]P(=O)([O-])F.[Na+].[Na+]','C(C(CO)O)O','O.[O-2].[O-2].[Si+4]','O','C(=O)(O)[O-].[Na+]','peg-12','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','[OH-].[Na+]','CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]','CCC(=O)C1=C(C(=C(C=C1)F)C2CC2NC(=O)NC3=NC=C(C=C3)C#N)O.CC(=O)[O-].CC(=O)[O-].[Zn+2]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','[O-][O-].[Ca+2]','O=[Ti]=O']",[],115,18,45,1,2,2,1,3,36,13,61,1,24,0,1,613,5,3,8,8,0,1,3,5,8,6,3,1,0,3,1,0,0,2,1,0,0,2,0,0,1,1,9,2,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,['sodium fluoride'],"['glycerin','hydrated silica','sodium hexametaphosphate','water','peg-6','flavor','trisodium phosphate','sodium lauryl sulfate','carrageenan','cocamidopropyl betaine','sodium saccharin','sucralose','gum xanthan','titanium dioxide','mica']","Crest 3D White Luxe Glamorous White Toothpaste, 3.5 oz, Pack of 2",$13.90 ,['[F-].[Na+]'],"['C(C(CO)O)O','O.[O-2].[O-2].[Si+4]','sodium hexametaphosphate','O','C(COCCOCCOCCOCCOCCO)O','flavor','[O-]P(=O)([O-])[O-].[Na+].[Na+].[Na+]','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','CCC(=O)C1=C(C(=C(C=C1)F)C2CC2NC(=O)NC3=NC=C(C=C3)C#N)O.CC(=O)[O-].CC(=O)[O-].[Zn+2]','CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O','CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O','O=[Ti]=O','[O-2].O=[Al]O[Al]=O.O=[Si]=O.[K+].[K+]']",235,31,87,9,10,2,1,3,75,27,111,0,74,8,9,1306,13,5,21,21,0,1,5,5,10,8,4,0,0,4,1,0,0,2,2,1,20,5,0,1,1,1,31,3,1,1,3,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,['stannous fluoride'],"['water','sorbitol','hydrated silica','sodium lauryl sulfate','carrageenan','sodium gluconate','flavor','gum xanthan','zinc citrate','stannous chloride','sodium hydroxide','sodium saccharin','sucralose','mica','titanium dioxide','fd&c blue no.1']","Crest Pro-Health Whitening Gel Toothpaste, 4.6 oz, Pack of 2",$4.99 ,['F[Sn]F'],"['O','C(C(C(C(C(CO)O)O)O)O)O','O.[O-2].[O-2].[Si+4]','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','CCC(=O)C1=C(C(=C(C=C1)F)C2CC2NC(=O)NC3=NC=C(C=C3)C#N)O.CC(=O)[O-].CC(=O)[O-].[Zn+2]','C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Na+]','flavor','CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O','C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Zn+2].[Zn+2].[Zn+2]','Cl[Sn]Cl','[OH-].[Na+]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O','[O-2].O=[Al]O[Al]=O.O=[Si]=O.[K+].[K+]','O=[Ti]=O','fd&c blue no.1']",239,39,96,9,10,2,1,3,86,34,125,4,60,8,9,1314,13,11,29,27,0,1,11,11,15,13,3,0,0,3,1,0,0,2,2,1,15,8,0,0,1,1,9,2,0,0,3,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,"['calcium carbonate','carrageenan','glycerin','hydrated silica','sodium bicarbonate','sodium lauryl sulfate','water','xylitol','zinc citrate']",[],"Tom's Antiplaque & Whitening Fluoride-Free Peppermint Toothpaste, 5.5oz, 2 Pack",$7.96 ,"['C(=O)([O-])[O-].[Ca+2]','CCC(=O)C1=C(C(=C(C=C1)F)C2CC2NC(=O)NC3=NC=C(C=C3)C#N)O.CC(=O)[O-].CC(=O)[O-].[Zn+2]','C(C(CO)O)O','O.[O-2].[O-2].[Si+4]','C(=O)(O)[O-].[Na+]','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','O','C(C(C(C(CO)O)O)O)O','C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Zn+2].[Zn+2].[Zn+2]']",[],114,18,47,0,1,1,1,2,40,14,57,0,33,0,1,618,3,8,10,8,0,1,8,12,12,11,2,0,0,2,1,0,0,1,0,0,0,1,0,0,1,0,9,2,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,['sodium monofluorophosphate'],"['propylene glycol','calcium pyrophosphate','glycerin','peg/ppg-116/66 copolymer','peg-12','pvp','silica','flavor','sodium lauryl sulfate','tetrasodium pyrophosphate','hydrogen peroxide','disodium pytophosphate','sodium saccharin','sucralose','bht']","Colgate Optic White Whitening Toothpaste, Sparkling White - 5 ounce (2 pack)",$5.00 ,['[O-]P(=O)([O-])F.[Na+].[Na+]'],"['CC(CO)O','[O-]P(=O)([O-])OP(=O)([O-])[O-].[Ca+2].[Ca+2]','C(C(CO)O)O','peg/ppg-116/66 copolymer','peg-12','C=CN1CCCC1=O','O=[Si]=O','flavor','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+]','OO','OP(=O)([O-])OP(=O)(O)[O-].[Na+].[Na+]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O','CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C']",136,15,52,4,4,2,0,2,48,15,78,0,27,3,3,736,6,0,10,10,0,0,0,0,2,2,2,0,0,2,0,1,0,2,1,0,3,4,0,6,0,1,9,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,['stannous fluoride'],"['glycerin','peg-8','hydrated silica','pentasodium triphosphate','sodium lauryl sulfate','flavor','titanium dioxide','polyacrylic acid','cocamidopropyl betaine','sodium saccharin']","Sensodyne Sensitivity Toothpaste for Sensitive Teeth, Complete Protection, Extra Fresh, 3.4 ounce",$5.72 ,['F[Sn]F'],"['C(C(CO)O)O','peg-8','O.[O-2].[O-2].[Si+4]','[O-]P(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+].[Na+]','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','flavor','O=[Ti]=O','C=CC(=O)O','CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]']",94,7,33,1,1,1,0,1,26,5,50,2,35,0,0,512,2,2,3,3,0,0,2,2,4,3,2,0,0,2,0,0,0,1,1,0,0,2,0,3,0,1,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,"['stannous fluoride','glycerin','peg','hydrated silica','pentasodium triphosphate','sodium lauryl sulfate','titanium dioxide','polyacrylic acid','cocamidopropyl betaine','sodium saccharin']",[],"Sensodyne Repair and Protect Whitening Toothpaste for Sensitive Teeth, 3.4 Ounce Tube",$5.72 - $10.98,"['F[Sn]F','C(C(CO)O)O','C(CO)O','O.[O-2].[O-2].[Si+4]','[O-]P(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+].[Na+]','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','O=[Ti]=O','C=CC(=O)O','CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]']",[],98,9,35,1,1,1,0,1,28,7,52,2,36,0,0,538,2,2,5,5,0,0,2,2,4,3,2,0,0,2,0,0,0,1,1,0,0,2,0,3,0,1,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,['sodium fluoride'],"['sorbitol','water','hydrated silica','peg-12','sodium lauryl sulfate','flavor','cellulose gum','tetrasodium pyrophosphate','cocamidopropyl betaine','sodium saccharin','methylcellulose','titanium dioxide','fd&c blue no.1']","Colgate Max Fresh Toothpaste with Mini Breath Strips, Cool Mint - 6.0 Ounce (3 Pack)",$5.92 ,['[F-].[Na+]'],"['C(C(C(C(C(CO)O)O)O)O)O','O','O.[O-2].[O-2].[Si+4]','peg-12','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','flavor','CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]','[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+]','CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','COCC1C(C(C(C(O1)OC2C(OC(C(C2OC)OC)OC3C(OC(C(C3OC)OC)OC)COC)COC)OC)OC)OC','O=[Ti]=O','CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[Na+].[Na+]']",205,17,67,4,5,5,0,5,58,13,87,1,70,3,3,1123,10,2,11,11,0,0,2,2,5,4,4,1,5,2,1,0,0,5,1,0,16,1,0,2,0,1,17,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,"['potassium nitrate','sodium fluoride']","['water','sorbitol','hydrated silica','glycerin','peg-8','cocamidopropyl betaine','flavor','titanium dioxide','gum xanthan','sodium saccharin','sodium hydroxide']","Sensodyne Pronamel Gentle Whitening Fluoride Toothpaste to Strengthen and Protect Enamel, 4 Ounce Twinpack (2 tubes of 4oz)",$10.24 ,"['[N+](=O)([O-])[O-].[K+]','[F-].[Na+]']","['O','C(C(C(C(C(CO)O)O)O)O)O','O.[O-2].[O-2].[Si+4]','C(C(CO)O)O','peg-8','CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]','flavor','O=[Ti]=O','gum xanthan','sodium saccharin','[OH-].[Na+]']",59,15,25,0,0,0,0,0,18,10,31,0,23,0,0,342,0,1,9,9,0,0,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
